timestamp,data_type,data_format,data_version,data_meta_ID,data_meta_ASSIGNER,problemtype_value,reference_data_url,reference_data_refsource,description_data_0_value,cvssV3_version,cvssV3_vectorString,cvssV3_attackVector,cvssV3_attackComplexity,cvssV3_privilegesRequired,cvssV3_userInteraction,cvssV3_scope,cvssV3_confidentialityImpact,cvssV3_integrityImpact,cvssV3_availabilityImpact,cvssV3_baseScore,cvssV3_baseSeverity,baseMetricV3_exploitabilityScore,baseMetricV3_impactScore,cvssV2_version,cvssV2_vectorString,cvssV2_accessVector,cvssV2_accessComplexity,cvssV2_authentication,cvssV2_confidentialityImpact,cvssV2_integrityImpact,cvssV2_availabilityImpact,cvssV2_baseScore,baseMetricV2_severity,baseMetricV2_exploitabilityScore,baseMetricV2_impactScore,baseMetricV2_acInsufInfo,baseMetricV2_obtainAllPrivilege,baseMetricV2_obtainUserPrivilege,baseMetricV2_obtainOtherPrivilege,baseMetricV2_userInteractionRequired,publishedDate,lastModifiedDate
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0001,cve@mitre.org,CWE-269,https://source.android.com/security/bulletin/2020-01-01,CONFIRM,"In getProcessRecordLocked of ActivityManagerService.java isolated apps are not handled correctly. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-140055304",3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False,2020-01-08T19:15Z,2020-01-14T21:52Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0002,cve@mitre.org,CWE-416,https://source.android.com/security/bulletin/2020-01-01,CONFIRM,"In ih264d_init_decoder of ih264d_api.c, there is a possible out of bounds write due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-142602711",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2.0,AV:N/AC:M/Au:N/C:C/I:C/A:C,NETWORK,MEDIUM,NONE,COMPLETE,COMPLETE,COMPLETE,9.3,HIGH,8.6,10.0,False,False,False,False,True,2020-01-08T19:15Z,2020-01-29T21:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0003,cve@mitre.org,CWE-367,https://source.android.com/security/bulletin/2020-01-01,CONFIRM,"In onCreate of InstallStart.java, there is a possible package validation bypass due to a time-of-check time-of-use vulnerability. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-8.0 Android ID: A-140195904",3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,LOCAL,HIGH,LOW,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2.0,AV:L/AC:H/Au:N/C:P/I:P/A:P,LOCAL,HIGH,NONE,PARTIAL,PARTIAL,PARTIAL,3.7,LOW,1.9,6.4,False,False,False,False,True,2020-01-08T19:15Z,2020-01-29T21:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0004,cve@mitre.org,CWE-20,https://source.android.com/security/bulletin/2020-01-01,CONFIRM,"In generateCrop of WallpaperManagerService.java, there is a possible sysui crash due to image exceeding maximum texture size. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.0 Android-8.1 Android-9 Android-10Android ID: A-120847476",3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,1.8,3.6,2.0,AV:L/AC:L/Au:N/C:N/I:N/A:P,LOCAL,LOW,NONE,NONE,NONE,PARTIAL,2.1,LOW,3.9,2.9,False,False,False,False,False,2020-01-08T19:15Z,2020-01-29T21:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0005,cve@mitre.org,CWE-787,https://source.android.com/security/bulletin/2020-02-01,MISC,"In btm_read_remote_ext_features_complete of btm_acl.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.0 Android-8.1 Android-9 Android-10Android ID: A-141552859",3.1,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False,2020-02-13T15:15Z,2020-02-18T13:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0006,cve@mitre.org,CWE-1187,https://source.android.com/security/bulletin/2020-01-01,CONFIRM,"In rw_i93_send_cmd_write_single_block of rw_i93.cc, there is a possible information disclosure of heap memory due to uninitialized data. This could lead to remote information disclosure in the NFC server with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-139738828",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE,6.5,MEDIUM,2.8,3.6,2.0,AV:N/AC:M/Au:N/C:P/I:N/A:N,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False,True,2020-01-08T19:15Z,2020-01-29T21:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0007,cve@mitre.org,CWE-1187,https://source.android.com/security/bulletin/2020-01-01,CONFIRM,"In flattenString8 of Sensor.cpp, there is a possible information disclosure of heap memory due to uninitialized data. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-141890807",3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,5.5,MEDIUM,1.8,3.6,2.0,AV:L/AC:L/Au:N/C:P/I:N/A:N,LOCAL,LOW,NONE,PARTIAL,NONE,NONE,2.1,LOW,3.9,2.9,False,False,False,False,False,2020-01-08T19:15Z,2020-01-29T21:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0008,cve@mitre.org,CWE-362,https://source.android.com/security/bulletin/2020-01-01,CONFIRM,"In LowEnergyClient::MtuChangedCallback of low_energy_client.cc, there is a possible out of bounds read due to a race condition. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-142558228",3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,4.7,MEDIUM,1.0,3.6,2.0,AV:L/AC:M/Au:N/C:P/I:N/A:N,LOCAL,MEDIUM,NONE,PARTIAL,NONE,NONE,1.9,LOW,3.4,2.9,False,False,False,False,False,2020-01-08T19:15Z,2020-01-29T21:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0009,cve@mitre.org,CWE-276,http://packetstormsecurity.com/files/155903/Android-ashmem-Read-Only-Bypasses.html,MISC,"In calc_vm_may_flags of ashmem.c, there is a possible arbitrary write to shared memory due to a permissions bypass. This could lead to local escalation of privilege by corrupting memory shared between processes, with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android kernel Android ID: A-142938932",3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,5.5,MEDIUM,1.8,3.6,2.0,AV:L/AC:L/Au:N/C:N/I:P/A:N,LOCAL,LOW,NONE,NONE,PARTIAL,NONE,2.1,LOW,3.9,2.9,False,False,False,False,False,2020-01-08T16:15Z,2020-06-10T13:15Z
2020-09-09T07:00Z,CVE,MITRE,4.0,CVE-2020-0010,cve@mitre.org,CWE-787,https://source.android.com/security/bulletin/2020-03-01,MISC,"In fpc_ta_get_build_info of fpc_ta_kpi.c, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-137014293References: N/A",3.1,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,False,False,False,False,False,2020-03-10T20:15Z,2020-03-11T12:39Z
