cvssV3_confidentialityImpact_HIGH,cvssV3_confidentialityImpact_LOW,cvssV3_confidentialityImpact_NONE,cvssV3_attackComplexity_HIGH,cvssV3_attackComplexity_LOW,cvssV3_privilegesRequired_HIGH,cvssV3_privilegesRequired_LOW,cvssV3_privilegesRequired_NONE,cvssV3_baseSeverity_CRITICAL,cvssV3_baseSeverity_HIGH,cvssV3_baseSeverity_LOW,cvssV3_baseSeverity_MEDIUM,cvssV3_userInteraction_NONE,cvssV3_userInteraction_REQUIRED,cvssV3_scope_CHANGED,cvssV3_scope_UNCHANGED,cvssV3_availabilityImpact_HIGH,cvssV3_availabilityImpact_LOW,cvssV3_availabilityImpact_NONE,cvssV3_integrityImpact_HIGH,cvssV3_integrityImpact_LOW,cvssV3_integrityImpact_NONE,cvssV3_attackVector_ADJACENT_NETWORK,cvssV3_attackVector_LOCAL,cvssV3_attackVector_NETWORK,cvssV3_attackVector_PHYSICAL,Severity_Score
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,CRITICAL
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,MEDIUM
1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,HIGH
1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,MEDIUM
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,MEDIUM
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,MEDIUM
1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,MEDIUM
1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,MEDIUM
1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,MEDIUM
1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,MEDIUM
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,HIGH
1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,CRITICAL
1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,MEDIUM
1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,HIGH
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,HIGH
0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,LOW
